,Virginia,California,Florida,New York,New Jersey,Texas,Michigan,Massachusetts,Arizona,Washington,Colorado,Illinois,the District of Columbia,Nevada,Hawaii,New Hampshire,Utah,Georgia,Montana,Minnesota,Louisiana,Maryland,Pennsylvania,South Carolina,North Carolina,Vermont,Tennessee,Oregon,New Mexico,Rhode Island,Alaska,Maine,Alabama,Wisconsin,Arkansas,Mississippi,Indiana,West Virginia,Idaho,North Dakota,Connecticut,Kentucky,Missouri,Kansas,Delaware,Wyoming,Oklahoma,South Dakota,Nebraska,Iowa,Ohio
2000-01-01,124221.08950596848,188275.9583623454,106961.89166671985,153909.3623544326,169782.62360411204,111198.88634495447,117557.98610111659,195594.3572985589,134715.01986220654,175214.56887622463,176034.91680990523,127993.56010630271,161447.006095178,154409.37205591344,195140.52725423322,134559.8327740159,169185.2715967697,123476.41821432009,,127048.78024055807,103880.07770030378,152327.31408619246,99440.38519582398,112919.00514990458,128032.2350563166,116671.45223456767,109966.29494996146,151761.62865345267,,132107.87435582286,135559.6509204058,108589.63495678673,99086.61593875104,120081.12818936975,87042.25462774052,85787.0352880357,99078.0601442224,73447.72330152604,122398.54979962968,,163594.11291460606,85119.39481741557,96693.95614491349,88880.31706137015,148518.07218874345,,81843.35776510433,109129.71114880539,115831.3813300389,91848.07398304205,106354.47719789739
2000-02-01,124542.52798849964,188908.81005523287,107193.58108082315,154457.43087116693,170240.2979799708,111259.31469216518,117622.73423325605,196247.38179296214,134959.0283673805,175609.78973372327,176659.96773473025,128096.13503678131,161975.06434076437,154428.67370423308,195050.24326675845,135016.95360434358,169277.9653710344,123756.81180772175,,127476.43110492773,104080.45298591739,152306.18666658044,99653.08064897521,113168.28482899626,128227.01955176926,116866.81555219187,110058.02979069014,152095.36860036562,,132708.6896647046,135713.61804509227,108950.91466409486,99259.1614007185,120046.27703806352,87158.58245196656,85739.98697806388,98941.83009804506,73444.57934465684,122324.34991849956,,164217.36394837004,85163.34154308273,96807.28891163398,88897.76443550666,148749.1322241802,,81877.11835788153,108897.84656575187,116016.54258093258,92023.59134017053,106419.46943113761
2000-03-01,124883.32823466013,189763.31480799688,107474.43483382196,154985.03520301706,170676.99996420825,111288.62338725362,117859.78160374396,197024.37789396048,135273.07179544878,176012.9501956211,177350.7136706405,128317.8553513725,162724.32453929484,154667.65763552522,195349.74461474584,135562.64571297794,169423.49438348375,124080.33918723592,,127874.31085900271,104236.1614245401,152414.11533904972,99852.95724109533,113371.40993828769,128427.64367107867,117173.62686024331,110151.58927457762,152400.26344888346,,133339.6445700984,135867.50464550732,109273.4913070622,99374.77021725841,120180.61535899602,87290.5661651512,85737.94018948007,98788.8218893329,73468.3199118811,122371.36212592038,,164868.1416211368,85243.30081187036,96976.96646015691,89000.55452120483,149036.8227663573,,82034.48729702823,108573.3692375694,116188.15300603826,92189.28708256443,106518.03359808434
2000-04-01,125527.32735583257,191618.18983805217,108045.33827664006,156119.76869293363,171644.52715475514,111434.08503996323,118331.97903350009,198554.73257714426,135914.33037621286,176826.63107587132,178895.1967508601,128839.44946614257,164330.89258096353,155215.3316624248,195869.2808737605,136381.8052112451,169788.62919511084,124761.50633166781,,128808.28475370984,104587.19734920368,152674.55041896403,100260.2753642857,113837.04444017472,128862.83282198351,117776.49298669978,110376.68600110151,153040.06510602092,,134586.30850423774,136047.97765986735,109984.14622474113,99633.7685818851,120373.53803004662,87572.37272098481,85799.7881063251,98323.69347319717,73528.40869514419,122468.97000164504,,165970.68715900858,85442.00690951507,97364.81125204179,89154.21854526254,149694.76451862615,,82321.04788492745,108136.00859980768,116454.5444590109,92547.18535262893,106807.86628705861
2000-05-01,126149.03796631261,193774.20264009133,108660.9961183517,157293.81222368183,172630.84505283428,111528.28828740696,119028.33243086813,200211.26615522653,136641.20604708907,177714.7125956431,180619.10763808808,129458.33718789571,166113.88580310703,155913.21476892062,196887.0084375789,137278.42224502622,171111.89565627417,125512.80656057376,,129832.87328924301,104959.11634420259,153219.54624445667,100678.69306439978,114271.78682882006,129347.65771861479,118470.75324438808,110636.34262830227,153610.63207256809,,135828.55297268138,136319.66564264632,110653.58684290138,99922.63917360133,120758.43400526389,87850.32143925839,86100.75136612613,98098.95350420084,73645.63888863137,122787.25169437817,,166876.6872970619,85706.09282718496,97865.79431526158,89385.8533036296,150445.17637114308,,82705.94331837408,107954.05379425483,116589.63409133565,92942.60767760502,107249.78906444699
2000-06-01,126749.40952355508,196100.53419041762,109289.1654742289,158563.27795947433,173808.00548144005,111633.91306064185,119793.13779875946,202006.08962238743,137293.5045963245,178562.503298264,182480.656781261,130153.88803165992,168029.06314933367,156539.74155049978,198036.37361347055,138225.61077133106,172570.7191475454,126308.93192434825,,131017.49174870936,105364.25624297942,153878.47777071068,101108.71326370131,114750.66328336035,129863.3925541502,119118.99149183527,110894.04029493609,154140.23419812534,,136775.04908771344,136522.7687467654,111405.13162502176,100271.89529350633,121210.17718018564,88117.17438073627,86531.34630414458,98165.33694531518,73840.38498453464,123176.24567489051,,167774.05897454257,85996.40117445623,98419.41228984862,89647.13164790436,151273.07298025806,,83070.83244029939,107829.37663364183,116669.57641699725,93341.72612576645,107798.12321483735
2000-07-01,127478.19687252467,198557.3064691129,109920.32203098247,159704.52314925336,175140.0710385372,111703.32487924834,120685.38531811151,204130.03307768,137956.8281619515,179483.54011332404,184366.88533200696,130908.30925168078,169847.28057931727,157025.33079974583,199185.78790358067,139540.1108495878,174033.16051815395,127113.39530711336,,132320.54201268093,105760.32729598311,154658.3353037213,101565.36819363474,115215.36802692506,130367.01560215915,119764.70256149478,111172.79388294106,154581.19033646013,,137640.0819290391,136946.5802462016,112213.31417404609,100595.29312783737,121808.41082790973,88375.1063928639,86929.01277175016,98647.7427936103,74096.30128474913,123560.92833413008,,168777.00711602936,86323.71604675938,99021.29819554159,89986.99685316335,152115.42344749594,,83448.67727826118,107742.43247600808,116762.16821511257,93747.04622628563,108340.18144272095
2000-08-01,128337.61012281926,201122.30645935552,110563.12262172524,160703.48942127198,176758.72009383084,111908.67231362057,121586.04063772167,206743.76732335208,138594.00483953787,180334.58218914134,186414.47202526758,131982.13756695975,171411.26852056733,157493.17062579814,200515.78620273317,141080.07156394026,174635.54007409187,127963.76373275199,,134105.15941874217,106073.49915460606,155382.04373196885,102001.29476944012,115726.93382182006,130841.93938061073,120432.2826852387,111460.49877626542,155052.17329788257,,138506.87130751126,137145.91492042193,113054.09045543252,100887.54783125919,122469.59808480536,88668.54344884532,87307.76079338182,99139.44856613432,74431.05890060498,123949.44492487963,,169990.36607213822,86698.15495221558,99670.32202290423,90356.06014299356,152935.09550335284,,83800.413465143,107582.68340225464,116983.75883542793,94093.65429575666,108867.02547611952
2000-09-01,129276.79543574575,203693.25885862115,111229.39000537367,161591.16688662977,178548.61680749073,112177.95515180561,122446.88227939291,209680.78321612123,139298.71808309687,181109.23578861903,188563.95394468118,133244.97862028217,172586.06149099575,158056.2333792282,201830.439693258,142734.5007731374,175162.2378626966,128832.88823154959,,135950.08909581622,106430.17026062285,156121.6874731131,102445.4630964088,116255.05604382155,131305.48467992837,121170.31474029853,111804.23766454992,155448.2091914632,,139574.85685095759,137327.75283949586,113929.05167458858,101201.04372401138,123131.92077672301,89000.43456718382,87645.1561582613,99523.67851014435,74730.81049787802,124274.68821995438,,171267.91867744527,87113.74946285688,100323.80247340433,90701.76073841874,153691.73092694682,,84120.14784762509,107805.23688007567,117254.43262345198,94455.20571637491,109384.68528924482
2000-10-01,130165.41718081491,206131.35589290888,111909.54502943282,162542.64034541484,180358.5310806768,112466.4968891845,123250.8728777328,212783.30774433643,139977.72257751264,181783.7761792369,190698.9258305383,134702.52735212908,172885.3670738176,158689.26050684636,203206.66851098984,144638.0575087196,175607.11878341515,129736.19913826145,,137838.20886956164,106852.54280258797,156902.2286427831,102871.4368335198,116774.88130879718,131795.55395919702,122058.46854979603,112137.14199998572,155846.0254241987,,140645.32888230178,137269.45472324223,114756.26114400837,101560.76523060356,123780.43158058748,89333.85387309146,88113.27631848636,99994.07487434491,75076.53269194151,124588.74195629191,,172665.99955541265,87502.00772936484,101018.48930302782,91055.19518823396,154367.4074415328,,84405.8932383341,108054.68279427376,117538.64757956378,94900.808272628,109884.75260460057
